Ano,Mes,Precipitacao_min,Precipitacao_media,Precipitacao_max,Temperatura_min,Temperatura_media,Temperatura_max,Vento_min,Vento_media,Vento_max
2018,4,6.0,73.53,247.0,18.0,21.4,23.0,0.0,1.62,4.0
2018,5,22.0,67.06,173.0,12.0,16.0,18.0,0.0,2.27,4.0
2018,6,71.0,138.94,206.0,12.0,13.89,17.0,0.0,1.29,3.0
2018,7,1.0,98.88,241.0,11.0,13.43,16.0,0.0,2.0,3.0
2018,8,47.0,98.65,177.0,10.0,13.4,19.0,0.0,2.0,3.0
2018,9,51.0,174.21,313.0,13.0,17.0,20.0,0.0,2.14,3.0
2018,10,49.0,209.9,322.0,13.0,18.17,23.0,0.0,2.62,5.0
2018,11,38.0,159.31,381.0,17.0,21.33,25.0,0.0,1.75,3.0
2018,12,29.0,118.74,232.0,20.0,21.73,25.0,0.0,1.86,3.0
2019,1,55.0,250.1,572.0,22.0,24.09,26.0,0.0,2.0,3.0
2019,2,55.0,190.4,422.0,19.0,22.17,26.0,0.0,1.83,4.0
2019,3,66.0,166.67,336.0,19.0,21.46,25.0,0.0,1.25,3.0
2019,4,61.0,139.91,238.0,17.0,20.5,24.0,0.0,1.45,5.0
2019,5,33.0,189.29,294.0,16.0,18.78,22.0,0.0,1.45,3.0
2019,6,22.0,54.68,135.0,14.0,17.14,21.0,0.0,1.43,3.0
2019,7,10.0,86.12,183.0,12.0,14.5,19.0,0.0,1.88,4.0
2019,8,0.0,54.85,190.0,12.0,13.78,16.0,0.0,1.9,4.0
2019,9,0.0,79.14,162.0,15.0,18.0,23.0,0.0,2.64,4.0
2019,10,42.0,252.94,402.0,18.0,19.0,20.0,0.0,2.57,5.0
2019,11,59.0,154.28,286.0,18.0,21.0,23.0,0.0,2.0,6.0
2019,12,35.0,108.5,213.0,14.0,21.22,25.0,0.0,1.67,3.0
2020,1,79.0,141.59,261.0,21.0,23.2,26.0,0.0,1.43,2.0
2020,2,20.0,90.83,244.0,19.0,22.86,26.0,0.0,1.38,3.0
2020,3,20.0,54.33,155.0,19.0,22.1,24.0,0.0,2.6,5.0
2020,4,30.0,54.55,86.0,13.0,17.33,20.0,1.0,2.5,4.0
2020,5,28.0,149.4,278.0,11.0,14.43,16.0,1.0,2.2,3.0
2020,6,62.0,148.75,309.0,14.0,15.9,18.0,0.0,2.22,5.0
2020,7,10.0,129.59,422.0,11.0,14.4,17.0,0.0,2.0,3.0
2020,8,24.0,136.86,179.0,12.0,15.29,20.0,0.0,1.57,2.0
2020,9,37.0,88.23,144.0,15.0,19.0,26.0,0.0,1.64,3.0
2020,10,26.0,50.2,72.0,17.0,19.5,21.0,0.0,2.25,4.0
2020,11,8.0,83.33,202.0,14.0,19.91,26.0,2.0,3.0,4.0
2020,12,68.0,150.64,259.0,20.0,22.71,25.0,0.0,2.0,3.0
2021,1,104.0,236.88,464.0,20.0,23.4,25.0,1.0,2.17,3.0
2021,2,14.0,89.36,214.0,19.0,21.57,24.0,0.0,2.2,3.0
2021,3,80.0,152.38,360.0,19.0,21.4,23.0,0.0,2.0,6.0
2021,4,1.0,27.69,119.0,17.0,19.5,22.0,0.0,1.73,4.0
2021,5,37.0,142.36,250.0,14.0,14.0,14.0,1.0,1.33,2.0
2021,6,60.0,177.57,294.0,7.0,12.5,15.0,0.0,1.75,5.0
2021,7,14.0,44.69,73.0,7.0,9.75,12.0,0.0,1.75,3.0
2021,8,32.0,96.14,136.0,16.0,17.0,18.0,0.0,1.33,3.0
2021,9,66.0,160.8,279.0,11.0,17.09,20.0,0.0,1.83,4.0
2021,10,77.0,217.11,406.0,13.0,18.0,20.0,0.0,2.29,3.0
2021,11,17.0,62.87,127.0,12.0,20.33,25.0,0.0,1.78,4.0
2021,12,1.0,48.6,73.0,19.0,22.09,25.0,0.0,2.5,4.0
2022,1,28.0,138.91,274.0,21.0,25.0,27.0,0.0,2.0,3.0
2022,2,37.0,87.15,197.0,24.0,25.5,27.0,0.0,2.33,4.0
2022,3,106.0,219.33,357.0,18.0,20.5,23.0,0.0,2.12,3.0
2022,4,73.0,183.67,351.0,16.0,19.44,23.0,0.0,1.43,3.0
2022,5,41.0,144.78,306.0,13.0,14.0,16.0,0.0,1.25,2.0
2022,6,96.0,169.83,313.0,8.0,12.38,19.0,0.0,1.0,3.0
2022,7,2.0,27.33,79.0,14.0,17.17,21.0,0.0,2.0,4.0
2022,8,90.0,139.82,228.0,11.0,13.75,17.0,2.0,2.4,3.0
2022,9,56.0,143.3,258.0,13.0,13.0,13.0,1.0,2.44,5.0
2022,10,73.0,192.88,547.0,15.0,17.4,19.0,2.0,2.83,4.0
2022,11,45.0,84.36,219.0,16.0,19.67,22.0,1.0,2.75,4.0
2022,12,38.0,128.38,477.0,20.0,22.89,26.0,2.0,2.6,3.0
2023,1,33.0,95.11,236.0,20.0,22.71,27.0,1.0,2.38,3.0
2023,2,48.0,155.75,278.0,14.0,20.83,25.0,1.0,2.0,3.0
2023,3,72.0,142.29,316.0,20.0,23.17,25.0,1.0,2.5,3.0
2023,4,10.0,94.25,225.0,16.0,18.62,23.0,1.0,2.0,3.0
2023,5,30.0,125.94,240.0,15.0,17.4,21.0,1.0,1.9,3.0
2023,6,74.0,135.37,228.0,10.0,14.85,19.0,1.0,1.6,3.0
2023,7,21.0,129.8,226.0,12.0,15.09,18.0,1.0,2.83,7.0
2023,8,60.0,84.7,120.0,10.0,17.6,22.0,1.0,3.0,9.0
2023,9,55.0,231.27,502.0,12.0,17.75,22.0,1.0,2.75,6.0
2023,10,70.0,330.62,520.0,17.0,20.14,26.0,3.0,4.67,7.0
2023,11,208.0,288.25,401.0,17.0,21.22,26.0,1.0,3.1,6.0
2023,12,77.0,153.73,299.0,18.0,22.22,25.0,1.0,2.29,4.0
2024,1,81.0,204.1,769.0,14.0,21.89,26.0,1.0,2.73,6.0
2024,2,16.0,139.1,290.0,21.0,23.25,25.0,1.0,2.12,3.0
2024,3,30.0,134.96,426.0,15.0,21.4,25.0,1.0,2.0,3.0
2024,4,144.0,258.38,494.0,18.0,21.7,26.0,0.0,2.22,3.0
2024,5,57.0,265.46,763.0,15.0,18.88,22.0,1.0,2.0,4.0
2024,6,0.0,149.67,404.0,13.0,16.0,19.0,0.0,2.67,5.0
2024,7,19.0,109.91,223.0,10.0,14.0,18.0,1.0,1.75,3.0
2024,8,26.0,97.08,228.0,13.0,14.6,16.0,1.0,3.29,9.0
2024,9,44.0,165.08,328.0,16.0,19.5,25.0,2.0,2.38,3.0
2024,10,65.0,160.18,220.0,17.0,19.91,25.0,2.0,2.2,3.0
2024,11,39.0,104.58,305.0,21.0,22.6,25.0,1.0,2.29,4.0
2024,12,0.0,190.53,427.0,19.0,21.17,24.0,1.0,2.5,4.0
2025,1,48.0,117.87,267.0,21.0,23.3,26.0,1.0,2.29,3.0
2025,2,58.0,144.8,281.0,22.0,24.69,28.0,1.0,2.67,4.0
2025,3,15.0,64.87,189.0,20.0,22.8,24.0,1.0,2.33,3.0
2025,4,61.0,89.08,141.0,15.0,18.67,22.0,2.0,2.6,3.0
2025,5,4.0,120.07,389.0,15.0,16.43,18.0,0.0,2.11,4.0
